Wikidata_ID,Name,Latitude,Longitude,WKT,Sitelinks,Primary_Class,All_Types,inception,official_opening,height_m,architectural_style,architect,founded_by,creator,material_used,named_after,heritage_designation,image,description,enwiki_title,enwiki_url,core_zone,coord_group,type_tag
Q20578467,Haji Zeynal Abdin Taghiyev' villa,40.491933589,50.147584463,Point(50.147584463 40.491933589),4,building,villa,1893-01-01T00:00:00Z,,,,Józef Gosławski,,,,,cultural heritage monument in Azerbaijan,Tağıyevin villasının daxili həyəti.jpg,"building in Mardakan, Azerbaijan",,,False,,poi
Q29994839,Sabir Street,40.367835,49.835774,Point(49.835774 40.367835),4,architectural structure,street,,,,,,,,,,,Baku 20170508 135340.jpg,"street in Baku, Azerbaijan",,,True,,street
Q29854113,Kichik Gala street,40.364571,49.832738,Point(49.832738 40.364571),4,architectural structure,street,,,,,,,,,,,Baku 20170506 135939.jpg,"street in Baku, Azerbaijan",,,True,,street
Q135390128,Zərgərpalan hamamı,40.37686776,49.830530835,Point(49.830530835 40.37686776),4,building,"bathhouse, hammam",1899-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,,,,,,cultural heritage monument in Azerbaijan,Zergerpalan bathhouse13.jpg,A historical architectural monument and bathhouse located in the city of Baku.,Zargarpalan Bathhouse,https://en.wikipedia.org/wiki/Zargarpalan_Bathhouse,True,,poi
Q4849586,Baku International Bus Terminal,40.42805556,49.7975,Point(49.7975 40.42805556),4,building,bus station,2009-01-01T00:00:00Z,,,,,,,,,,Bakı BA.jpg,"bus station in Baku, Azerbaijan",Baku International Bus Terminal,https://en.wikipedia.org/wiki/Baku_International_Bus_Terminal,True,,poi
Q20584335,Sofi Hamid Shrine,40.223431305,49.420920727,Point(49.420920727 40.223431305),4,monument,tomb,,,,,,,,,,cultural heritage monument in Azerbaijan,Sofi Həmid piri 2024 (127).jpg,,,,False,,poi
Q8063594,Zabrat Stadium,40.49199,49.94755,Point(49.94755 40.49199),4,building,stadium,,,,,,,,,,,,stadium in Azerbaijan,Zabrat Stadium,https://en.wikipedia.org/wiki/Zabrat_Stadium,False,,poi
Q20404595,St. Bartholomew church in Baku,40.366268847,49.836882295,Point(49.836882295 40.366268847),4,building,church building,1892-01-01T00:00:00Z,,,,,,,,,cultural heritage monument in Azerbaijan,"St. Bartholomew ortodox church in Baku, XIX century.jpg",church in Azerbaijan,Saint Bartholomew Church (Baku),https://en.wikipedia.org/wiki/Saint_Bartholomew_Church_(Baku),True,,poi
Q105451415,Mikado Cinematography building,40.372450371,49.840759303,Point(49.840759303 40.372450371),4,building,theatre building,1916-01-01T00:00:00Z,,,,,,,,,,Mikado sinematoqrafının binası.jpg,"drama theatre building and former cinema building in Baku, Azerbaijan",Mikado Cinematography building,https://en.wikipedia.org/wiki/Mikado_Cinematography_building,True,,poi
Q56633670,Haji Shahverdi bath,40.570690669,49.890800021,Point(49.890800021 40.570690669),4,building,hammam,1900-01-01T00:00:00Z,,,,,,,,,cultural heritage monument in Azerbaijan,"Pirsaqi, Azerbaijan, 2010 (2).jpg",,,,False,,poi
Q31295714,Monument to Mikayil Mushfig,40.381998,49.822774,Point(49.822774 40.381998),4,monument,monument,,,,,,,,marble,,cultural heritage monument in Azerbaijan,,monument,Monument to Mikayil Mushfig,https://en.wikipedia.org/wiki/Monument_to_Mikayil_Mushfig,True,,poi
Q28664763,Monument of Sattar Bahlulzade,40.434627,49.963408,Point(49.963408 40.434627),4,monument,monument,1975-01-01T00:00:00Z,,,,,,,,,cultural heritage monument in Azerbaijan,Sattar Bahlulzade sculpture by Omar Eldarov.jpg,"monument in Əmircan, Baku, Azerbaijan",Monument to Sattar Bahlulzade,https://en.wikipedia.org/wiki/Monument_to_Sattar_Bahlulzade,False,,poi
Q25541964,Monument to Bulbul,40.3745964,49.8467433,Point(49.8467433 40.3745964),4,monument,monument,,,,,,,Akif Askerov,,,,Bülbülün heykəli.jpg,"statue in Baku, Azerbaijan",Monument to Bulbul,https://en.wikipedia.org/wiki/Monument_to_Bulbul,True,219.0,poi
Q18407334,Statue of Nariman Narimanov,40.368456,49.82446,Point(49.82446 40.368456),4,monument,monument,1972-06-06T00:00:00Z,,,,,,,"bronze, granite",,cultural heritage monument in Azerbaijan,Nəriman Nərimanov Heykəli.jpg,"monument in Baku, Azerbaijan",,,True,,poi
Q106586993,Salyan Gate of Baku Fortress,40.364048201,49.833225024,Point(49.833225024 40.364048201),4,architectural structure,gate,,,,,,,,,,,Fortress of Baku 7.jpg,"monument in Old City, Baku, Azerbaijan",Salyan Gates,https://en.wikipedia.org/wiki/Salyan_Gates,True,,poi
Q123692020,Ədibin evi,40.364653681,49.832556705,Point(49.832556705 40.364653681),4,museum,historic house museum,2017-01-01T00:00:00Z,2017-04-27T00:00:00Z,,,,,,,,cultural heritage monument in Azerbaijan,Baku KichikGalaStreet18 004 8157.jpg,"museum in Baku, Azerbaijan",,,True,,poi
Q16414058,Orthodox church of the Nativity of Our Lady in Baku,40.38201,49.8473,Point(49.8473 40.38201),4,building,Eastern Orthodox church building,,,,,,,,,,cultural heritage monument in Azerbaijan,"Bakirə Məryəmin Məsum Hamilələyi kilsəsi (Bakı, pravoslav).jpg",,,,True,,poi
Q30116254,House-Museum of Kamil Aliyev,40.367222222,49.836944444,Point(49.836944444 40.367222222),4,museum,biographical museum,2007-01-01T00:00:00Z,,,,,,,,,,House-museum of Kamil Aliyev.JPG,,,,True,,poi
Q105539450,The building of the Union of Composers of Azerbaijan,40.373783673,49.845678333,Point(49.845678333 40.373783673),4,building,historic building,1912-01-01T00:00:00Z,,,,,,,,,cultural heritage monument in Azerbaijan,Building on Khagani Street 27 2020.jpg,3-storey residential building in Baku,Union of Composers Building (Baku),https://en.wikipedia.org/wiki/Union_of_Composers_Building_(Baku),True,,poi
Q31297068,Chemberekend Cemetery,40.36,49.832222222,Point(49.832222222 40.36),4,architectural structure,former cemetery,,,,,,,,,,,Chemberekend cemetery 3.jpg,former cemetery in Baku,Chemberekend Cemetery,https://en.wikipedia.org/wiki/Chemberekend_Cemetery,True,,poi
Q81913783,Old City Museum Center,40.366666666,49.833333333,Point(49.833333333 40.366666666),4,museum,museum,2018-12-22T00:00:00Z,,,,,Cabinet of Azerbaijan,,,Old City of Baku,,İçərişəhər 2016.jpg,museum in Azerbaijan,Old City Museum Center,https://en.wikipedia.org/wiki/Old_City_Museum_Center,True,,poi
Q110109341,Victory Museum (Baku),40.376138303,49.86638709,Point(49.86638709 40.376138303),4,museum,museum,,2025-11-08T00:00:00Z,,,,,,,,,"Zəfər muzeyinin giriş tərəfi, 2025-ci ilin noyabr ayı.jpg","history museum in Moscow, Russia",Victory Museum (Baku),https://en.wikipedia.org/wiki/Victory_Museum_(Baku),True,,poi
Q109264966,Surakhani Tanker-Museum,40.337443699,49.841953898,Point(49.841953898 40.337443699),4,museum,museum,2021-03-01T00:00:00Z,,,,,,,,,,Suraxanı tanker-muzeyi-3.jpg,,,,False,,poi
