Wikidata_ID,Name,Latitude,Longitude,WKT,Sitelinks,Primary_Class,All_Types,inception,official_opening,height_m,architectural_style,architect,founded_by,creator,material_used,named_after,heritage_designation,image,description,enwiki_title,enwiki_url,core_zone,coord_group,type_tag
Q110706186,Theatre of Taghiyev,40.3686,49.8406,Point(49.8406 40.3686),6,building,theatre building,1883-01-27T00:00:00Z,1883-11-27T00:00:00Z,,Classicism,Khrisanf Vasilyev,Haji Zeynal Abdin Taghiyev,,,,,Theatre of Tagiyev in Baku.jpg,the first private theatre in Baku,Tagiyev's Theater,https://en.wikipedia.org/wiki/Tagiyev%27s_Theater,True,,poi
Q187512,Park Bulvar,40.37083333,49.84972222,Point(49.84972222 40.37083333),6,building,shopping center,2010-01-01T00:00:00Z,,,,,,,,,,Parkbulvar 2162.jpg,"shopping mall in Baku, Azerbaijan",Park Bulvar,https://en.wikipedia.org/wiki/Park_Bulvar,True,,poi
Q13668711,The Crescent Development project,40.373947222,49.859255555,Point(49.859255555 40.373947222),6,building,"skyscraper, tower block",,,,,,,,,,,Crescent Development Project in 2024.jpg,Buildings and structures under construction in Azerbaijan,The Crescent Development Project,https://en.wikipedia.org/wiki/The_Crescent_Development_Project,True,,poi
Q30879151,Monument to Rashid Behbudov,40.3745964,49.8467433,Point(49.8467433 40.3745964),6,monument,monument,2016-06-11T00:00:00Z,,,,,,,,,,Rəşid Behbudovun heykəli (3).jpg,"monument in Baku, Azerbaijan",Monument to Rashid Behbudov,https://en.wikipedia.org/wiki/Monument_to_Rashid_Behbudov,True,219.0,poi
Q85997271,Monument to Albert Agarunov,40.40575,49.861567,Point(49.861567 40.40575),6,monument,monument,2019-01-01T00:00:00Z,,,,,,,,,,Albert Aqarunovun heykəli (1).jpg,"monument in Baku, Azerbaijan",Monument to Albert Agarunov,https://en.wikipedia.org/wiki/Monument_to_Albert_Agarunov,True,,poi
Q65279145,Həzi Aslanovun heykəli,40.357258,49.829393,Point(49.829393 40.357258),6,monument,monument,1949-01-01T00:00:00Z,,,,,,,,,cultural heritage monument in Azerbaijan,"Sabayil, Baku, Azerbaijan - panoramio (31).jpg",,,,True,,poi
Q16271058,Zivar bay Ahmadbayov Monument,40.379336,49.830197,Point(49.830197 40.379336),6,monument,monument,2011-05-26T00:00:00Z,,,,,,,,,,Building on Zargarpalan Street 133.jpg,monument,Zivar bay Ahmadbayov Monument,https://en.wikipedia.org/wiki/Zivar_bay_Ahmadbayov_Monument,True,,poi
Q4343255,Monument to Mirza Alakbar Sabir,40.368677,49.834429,Point(49.834429 40.368677),6,monument,monument,1958-01-01T00:00:00Z,,,,"Enver Ismailov, Gazanfar Alizade",,Jalal Garyaghdi,bronze,,,Mirzə Ələkbər Sabirin heykəli.JPG,"monument in Baku, Azerbaijan",Monument to Mirza Alakbar Sabir,https://en.wikipedia.org/wiki/Monument_to_Mirza_Alakbar_Sabir,True,,poi
Q15196208,Baku Turkish Martyrs' Memorial,40.35777778,49.82777778,Point(49.82777778 40.35777778),6,monument,memorial,1999-01-01T00:00:00Z,,,,,,,,,,Türk sehidleri Bakü.jpg,Cemetery in Azerbaijan,Baku Turkish Martyrs' Memorial,https://en.wikipedia.org/wiki/Baku_Turkish_Martyrs%27_Memorial,True,,poi
Q30116888,National Aviation Academy of Azerbaijan,40.453888888,50.066944444,Point(50.066944444 40.453888888),6,architectural structure,military academy,1992-06-15T00:00:00Z,,,,,,,,,,"MAA, I tədris binası.jpg",Azerbaijani higher education institution,National Aviation Academy (Azerbaijan),https://en.wikipedia.org/wiki/National_Aviation_Academy_(Azerbaijan),False,,poi
Q30694329,Paired Fortress Gates,40.368792,49.836339,Point(49.836339 40.368792),6,architectural structure,gate,,,,Shirvan-Absheron architectural school,,,,,,,Qoşa qala qapıları.JPG,,Paired Fortress Gates,https://en.wikipedia.org/wiki/Paired_Fortress_Gates,True,,poi
Q59208803,Gara Garayev Museum,40.371180555,49.833111111,Point(49.833111111 40.371180555),6,museum,"historic house museum, music museum",,2018-10-01T00:00:00Z,,,,,,,Gara Garayev,,Qara.Q ev muzeyi.jpg,"museum in Baku, Azerbaijan",,,True,,poi
Q2974257,Baku State Circus,40.3830429,49.8396389,Point(49.8396389 40.3830429),6,building,circus building,,,,,Enver Ismailov,,,,,,Bakı Dövlət Sikrinin loqosu.png,"building in Baku, Azerbaijan",Baku State Circus,https://en.wikipedia.org/wiki/Baku_State_Circus,True,,poi
Q106169267,Museum of Sacred Relics,40.366163,49.834485,Point(49.834485 40.366163),6,museum,museum,2016-01-01T00:00:00Z,,,,,,,,,,Bəylər məscidinin interyeri.jpg,museum,Museum of Sacred Relics,https://en.wikipedia.org/wiki/Museum_of_Sacred_Relics,True,,poi
Q39765768,Stone Chronicle Museum,40.340098484,49.841189534,Point(49.841189534 40.340098484),6,museum,museum,2015-01-01T00:00:00Z,,,,,,,,,,Baku KrasinGRES-StoneChronicleMuseum 004 8923.jpg,,Stone Chronicle Museum,https://en.wikipedia.org/wiki/Stone_Chronicle_Museum,True,,poi
Q16676205,Sədərək məscidi,40.3225,49.77972222,Point(49.77972222 40.3225),5,mosque,mosque,,,,,,Azerbaijan,,,,,Rəsulallah məscidi 2023.04.14.jpg,,,,False,,poi
Q31299039,Hacı Baxış məscidi,40.559327282,50.008017542,Point(50.008017542 40.559327282),5,mosque,mosque,1663-01-01T00:00:00Z,,,,,,,,,cultural heritage monument in Azerbaijan,Haji Bakhshi Mosque 1.jpg,,,,False,,poi
