place_id,name,category,lat,lng,opening_hours,address,business_status,fetched_at,coverage
ChIJi8b8DFl9MEARMjnsTK5l_cU,I Love Baku sign,tourist_attraction,40.3939972,49.864816,,"1 Heydər Əliyev prospekti, Bakı 1000, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJaan1JRV9MEAR_yVNSDuZ9sY,Təhsil Muzeyi,tourist_attraction,40.392270800000006,49.861309299999995,,"9VR6+WG3, Əbdüləzəl Dəmirçizadə küç, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJl9SeGU99MEARs9xklJ4YLbc,Panda Kids,shopping_mall,40.402777799999996,49.8697222,,"98 Təbriz, Bakı 1001, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJlbfZ9n99MEARlMB-V8uus9o,Hyundai Servis,shopping_mall,40.4047511,49.8591125,,"139 Həsən Əliyev Küçəsi, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJY2PveQB9MEARfz0lwUm3RT0,Sumqayıt,tourist_attraction,40.4091235,49.8647652,,"CV57+JWR, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJVRtS60V9MEAROBjLyhIntSk,Viplife,shopping_mall,40.4014386,49.866840599999996,,"b, 19 Ashig Molla Juma, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJoxTHVKljMEARxVsRAkkSptU,City Park Mall,shopping_mall,40.389561,49.891190699999996,,"28 Babək Prospekti, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJiwgEZQB9MEARfCapYpxsYQ4,Baku City Mall,shopping_mall,40.389661499999995,49.891482599999996,,"9VQR+VH9, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJOTMuQ0V9MEAR8Lst14BNNdU,Qəbələ Təndir,tourist_attraction,40.3905726,49.8890136,,"Babək Prospekti, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJs_oC9XV9MEAR0MO2wANXWhE,Skandinaviya evi,shopping_mall,40.3887311,49.8710586,,"10b Babək Prospekti, Bakı 1025, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJZRDLTm99MEAR5CYh8DvoIrI,Bənövşə Gül Salonu,shopping_mall,40.402864300000005,49.8725727,,"44 Ağa Nemətulla, Bakı 1033, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJL3f1cwB9MEARoNW0W4XytSc,Saç satışı merkezi,shopping_mall,40.4025653,49.874684699999996,,"189c Faiq Yusifov, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJn4AullN9MEAR4P-yvdQBj2U,Mərmər Qranit Dizayn İnşaat,shopping_mall,40.3898789,49.8931258,,"2222 məh, 31K Babak Ave, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJC2k7wGxjMEARwKYoRGj4-K0,Qadjibek's Garage,shopping_mall,40.4087198,49.881681099999994,,"CV5J+FMM, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJzwoSBSt9MEARUypsGEDRBRM,Keşlə Butik,shopping_mall,40.3971113,49.8924203,,"9VWR+RXV, 4-cü Köndələn, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJaU6qEQB9MEARQan_bUjxai4,Xəyal,shopping_mall,40.397620599999996,49.877926699999996,,"r-nu, 26 Ağa Nemətulla, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJ4YCcnTh9MEAR6Jhfwj30Ebw,Bagno Design,shopping_mall,40.3967619,49.870446,,"4 A Həsənoğlu, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJyUHDT5iHMEARH1EgkWM9DSg,Moskva Ticarət Mərkəzi,shopping_mall,40.410019299999995,49.8126623,,"15A Məmməd Cəfər Cəfərov, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJsa-XZX6HMEAR1gEVRIlR2RQ,Əcəmi Mall Ticarət Mərkəzi,shopping_mall,40.411052399999996,49.818801799999996,,"120 Hüseynbala Əliyev küçəsi, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJxcRsmq2HMEARsQxKwLGwnng,Baku Outlet Park,shopping_mall,40.417486499999995,49.798539899999994,,"Сумгаитское шоссе, 3 км., Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJLVU1ewCHMEARmqaFPma3Cxw,Cavadxan 3A,tourist_attraction,40.4201354,49.8178516,,"CRC9+345, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJ04ziflqHMEARGsu0lha-9tg,Megafon,shopping_mall,40.4123646,49.8081059,,"CR65+W6X, 20 Yanvar, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJAVeNRQCHMEARJM0uFdHI9g4,Seel butik,shopping_mall,40.4107822,49.816683,,"Hüseynbala Əliyev küçəsi, Bakı 1111, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJTbBv9rKHMEARRvXx0zEGfok,EGO Otomotiv,shopping_mall,40.422937499999996,49.7971875,,"Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJ2-rkOPGHMEARJPu1v9ouMGY,Fame Mall Bileceri,shopping_mall,40.4211996,49.799282999999996,,"Bileceri dairesi, CQCX+FPF, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJnxYy5paHMEAR_8soQvqujW4,M-style qadın geyimləri,shopping_mall,40.411433099999996,49.8196278,,"CR69+HVC, Hüseynbala Əliyev küçəsi, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJT1UrWC-HMEARXDm7b6-UUuI,Endi market,shopping_mall,40.4170339,49.8061205,,"CR84+RC9, Baku 1102, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJm4GRdwCHMEARVespUOp1zSc,Orxan Market,shopping_mall,40.4191366,49.7950649,,"CQ9W+MC3, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJ_fvkbQCHMEARAoSuOEaVx1E,Yeni bazar,shopping_mall,40.4067351,49.8197216,,"48 Alı Mustafayev, Bakı 1102, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJu0iSwcaHMEARspw4vPYdj-4,Qab-qacaq əcəmi,shopping_mall,40.4113162,49.8189006,,"CR69+GHC, Hüseynbala Əliyev küçəsi, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJL0kbjJ59MEARMK6Tg-SDJvo,Instyle,shopping_mall,40.410370199999996,49.81539430000001,,"6A Hüseynbala Əliyev küçəsi, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJA76cIGCHMEARMQEOq88kbK4,Azadın kruqu,tourist_attraction,40.4106326,49.8150312,,"CR68+722, Cavadxan, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJeRMiCj2HMEARvFQwfg_ynlU,CATDIRILMA UNVANI,shopping_mall,40.4177269,49.8141188,,"20 Hüseyn Seyidzadə küçəsi, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJezPwTNCHMEAR5Dv2J5UEkRU,Heydar Mosque,tourist_attraction,40.4287837,49.8242054,,"Hamza Babashov, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJe6SNufqHMEARMjJJLwNamwg,Gold Parfum,shopping_mall,40.4154491,49.84626120000001,,"62 Atatürk prospekti, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJ64YkuF2HMEARoOUCUptaoQI,Neon kitab mağazası,shopping_mall,40.4214154,49.84305680000001,,"CRCV+H67, Ibrahimpaşa Dadaşov, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJ4YeNK2J9MEARxJtOh438yQE,Everest Market,shopping_mall,40.4012739,49.8394389,,"94 Mirəli Qaşqay, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJJ9wzeOOHMEARIkjn7rdbNHc,Rerapier,shopping_mall,40.4194008,49.848724999999995,,"CR9X+RH3 cefer xendan 202B, CR9X+RH3, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJHx5LJ56HMEARGn452UAN3Og,Gence Tendir,shopping_mall,40.4101225,49.8442787,,"CR6V+2PR, Ibrahimpaşa Dadaşov, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJHVhU4-mHMEAR02pR0HUY0yE,İÇDENİZ,shopping_mall,40.4173937,49.8398027,,"36 Cəfər Xəndan Küçəsi, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
